320,0.055944571495056154,[0.21861225 0.18801491 0.16847879 0.15370116 0.14300008 0.13046963 0.12031002 0.10738587 0.08548176],[0.22457627 0.19020716 0.16854991 0.15301318 0.14077213 0.12758945 0.11676083 0.10357815 0.08239171]
352,0.055924448966979984,[0.28764172 0.25110257 0.22997434 0.21315398 0.20061036 0.18927821 0.17251407 0.15167639 0.12913058],[0.30555556 0.26741996 0.24340866 0.22410546 0.20903955 0.19632768 0.17843691 0.15725047 0.13229755]
384,0.05647451639175415,[0.36511712 0.33107676 0.30952985 0.28732681 0.2684057 0.24885682 0.22562772 0.20431892 0.17162592],[0.39218456 0.35734463 0.33286252 0.30885122 0.28813559 0.26836158 0.2452919 0.22175141 0.18502825]
416,0.056329433917999265,[0.42500428 0.38918786 0.35823079 0.33282561 0.31961477 0.30531924 0.28215025 0.25871205 0.22071724],[0.46704331 0.42984934 0.39877589 0.37099812 0.3559322 0.33992467 0.31450094 0.28719397 0.24199623]
448,0.056944339275360106,[0.47385649 0.43212245 0.40938931 0.38844649 0.36283824 0.3480986 0.33022 0.30552837 0.26459966],[0.52071563 0.47787194 0.45338983 0.43126177 0.40913371 0.39077213 0.37052731 0.3413371 0.29566855]
480,0.057234256267547606,[0.53577977 0.49671518 0.47238346 0.44775368 0.41767241 0.39886868 0.3819509 0.35700559 0.30346627],[0.58380414 0.54378531 0.51741996 0.49246704 0.4665725 0.44632768 0.42514124 0.39971751 0.34698682]
512,0.057209138870239255,[0.57155363 0.52794508 0.49969895 0.4810469 0.46392558 0.44662243 0.42337807 0.3930084 0.34437781],[0.62806026 0.58427495 0.55320151 0.53578154 0.51789077 0.49952919 0.47410546 0.44020716 0.38370998]
544,0.058079408407211305,[0.61761853 0.58028399 0.55228966 0.52687405 0.5011302 0.48282312 0.45821728 0.42664898 0.36598329],[0.67184557 0.63700565 0.60781544 0.58333333 0.55743879 0.53813559 0.51129944 0.47693032 0.4086629]
576,0.05907712459564209,[0.65000659 0.61432296 0.58685256 0.55972741 0.53974414 0.51695371 0.49022657 0.44696653 0.382427],[0.70480226 0.66854991 0.6440678 0.61770245 0.59981168 0.57438795 0.54566855 0.50423729 0.43502825]
608,0.0612193500995636,[0.67456931 0.63878405 0.61082166 0.58443604 0.55484315 0.52321126 0.49375176 0.44229813 0.37422054],[0.7405838 0.70621469 0.68032015 0.65254237 0.6200565 0.59510358 0.56308851 0.50988701 0.43502825]
640,0.06258944272994996,[0.69070988 0.66139572 0.63619133 0.61332005 0.58297197 0.54359333 0.5078275 0.46313455 0.38299335],[0.76035782 0.72834275 0.70386064 0.67937853 0.65112994 0.61440678 0.57721281 0.53201507 0.45150659]
672,0.06553435444831848,[0.71030149 0.67597908 0.63505403 0.61606949 0.5877192 0.56206535 0.52733101 0.47338806 0.39015381],[0.78154426 0.74905838 0.71186441 0.68973635 0.66431262 0.63888889 0.59981168 0.54378531 0.45998117]
704,0.06788952112197875,[0.72708756 0.69477918 0.66040176 0.62676687 0.60140292 0.57023775 0.52642772 0.46528309 0.37260068],[0.7980226 0.76883239 0.73964218 0.7066855 0.6779661 0.64500942 0.59792844 0.54001883 0.4472693]
736,0.07005427718162537,[0.74793895 0.71198502 0.67506539 0.64375397 0.61279641 0.57511731 0.52055979 0.45550092 0.35885609],[0.8173258 0.78531073 0.75423729 0.72175141 0.69020716 0.65065913 0.5960452 0.5334275 0.43644068]
768,0.07236428618431091,[0.7546875 0.71553448 0.68101727 0.64824824 0.60944827 0.56536279 0.51317158 0.45364377 0.33489733],[0.82391714 0.79190207 0.76365348 0.73305085 0.6972693 0.65160075 0.59981168 0.53766478 0.423258]
800,0.07295945167541504,[0.76263135 0.71857269 0.67949071 0.6395856 0.59609319 0.54100139 0.49771163 0.42473821 0.33102299],[0.836629 0.79755179 0.76177024 0.72504708 0.68361582 0.63135593 0.58521657 0.51082863 0.40913371]
832,0.07467445969581604,[0.7688398 0.71725943 0.67768777 0.63283497 0.58285369 0.5349642 0.46989668 0.39925448 0.29553124],[0.83992467 0.80084746 0.76647834 0.72316384 0.67467043 0.62570621 0.56026365 0.48822976 0.37806026]
864,0.09048955917358398,[0.78216076 0.71667507 0.66500699 0.61773793 0.5659716 0.51899394 0.44759591 0.37497107 0.284161],[0.84510358 0.79519774 0.75847458 0.71045198 0.66101695 0.61205273 0.53907721 0.46892655 0.36770245]
